eight ball	1/8 ounce of cocaine
polo	mixture of heroin and motion sickness drug
polvo	heroin
polvo blanco	cocaine
polvo de angel	pcp
polvo de estrellas	pcp
pony	crack cocaine
pony packs	folded paper used to package drugs
poor man's coke	methamphetamine
poor man's heroin	talwin and ritalin combination injected
poor man's pot	inhalants
pop	to inhale cocaine
poppers	assorted pills
poppers	isobutyl nitrite
poppy	heroin
poro	heroin plus pcp (phencyclidine)
posse	gang
potato	lsd
potato chips	crack cut with benzocaine
potlikker	marijuana
potten bush	marijuana
powder	cocaine hcl
powder diamonds	cocaine
power puller	rubber piece attached to crack stem
pox	opium
pr	panama red
predator	heroin
premos	marijuana joints laced with crack cocaine
prescription	marijuana cigarette
press	cocaine
pretendica	marijuana
pretendo	marijuana
primbolin	injectable and oral steroids
prime time	crack cocaine
primo	crack
primo square	a marijuana joint laced with crack
primo turbo	combination of crack cocaine and marijuana
primobolan	injectable and oral steroid
primos	cigarette laced with cocaine and heroin
prince of darkness	Satan
proviron	oral steroids
pseudocaine	crack cocaine cut with phenylpropanolamine
ptb	pure tango blast
puff the dragon	to smoke marijuana
puffer	crack smoker
puffy	pcp
pulborn	heroin
pullers	crack users who pull at parts of their bodies excessively
pumpers	steroids
pumping	selling crack
pure love	lsd
purple	ketamine
purple barrels	lsd
purple caps	crack cocaine
purple flats	lsd
purple gel tabs	lysergic acid diethylamide (lsd)
purple haze	lsd
purple hearts	lsd
purple ozoline	lsd
purple pills	ecstasy
purple rain	pcp
purple wings	earned when member has sexual intercourse with female cadaver
push	sell drugs
push shorts	to cheat
pusher	metal hanger or umbrella rod used to scrape residue out of crack stems
pyramid	mystery
q	depressants
qat	methcathinone
qp	quarter pound of marijuana
quads	depressants
quarter	1/4 ounce or $25 worth of drugs
quarter bag	$25 worth of drugs
quarter moon	hashish
quarter piece	1/4 ounce
quartz	smokable methamphetamine
quas	depressants
queen ann's lace	marijuana
quicksilver	isobutyl nitrite
quill	cocaine
quinolone	injectable steroids
quoted	gang initiation
r-2	rohypnol
r-ball	ritalin
rabbit	playboy image
racehorse charlie	cocaine
rachete	firearm/gun
rag	bandana, which displays colors of gang
ragweed	inferior quality marijuana
railroad weed	marijuana
rails	cocaine
rainbow	lsd
rainbows	depressants
rainy day woman	marijuana
rambo	heroin
rane	cocaine
rangood	marijuana grown wild
rank	person who carries status in gang
rap	criminally charged
raspberry	female who trades sex for crack or money to buy crack
rasta weed	marijuana
rave	all night dance parties 
rave energy	mdma
raw	crack cocaine
raw fusion	heroin
raw hide	heroin
razed	under the influence of drugs
ready rock	cocaine
real tops	crack cocaine
recompress	"change the shape of cocaine flakes to resemble ""rock"""
recycle	lsd
red and blue	depressants
red bud	marijuana
red bullets	depressants
red caps	crack cocaine
red chicken	heroin
red cross	marijuana
red devil	depressants
red devils	mdma
red dirt	marijuana
red eagle	heroin
red lips	lsd
red phosphorus	smokable speed
red rock	heroin
red rock opium	heroin strychnine, and caffeine
red rocks	opium
red rum	heroin strychnine, and caffeine
red solders	members of nuestrfamilia
red stuff	heroin, barbital, strychnine, and caffeine
redneck cocaine	methamphetamine
reds	depressants
reef	marijuana
reefer	marijuana
reefers	marijuana cigarette
"regular ""p"""	crack cocaine
reindeer dust	heroin
renewtrient	gbl-containing product
representing	displaying flag
res	potent residue left as a result of smoking crack which is scraped and smoked
rest in peace	crack cocaine
reupped	acquired fresh supply
revivarant	gbl-containing product
revivarant-g	gbl-containing product
reynolds	rohypnol
rhine	heroin
rhythm	amphetamine
rib	rohypnol
richard	cocaine
rider	5 kilograms of heroin 
riding the wave	under the influence of drugs
rig	equipment used to inject drugs
righteous bush	marijuana
ringer	good hit of crack
rippers	amphetamine
ritual spirit	mdma
ritz and ts	a combination of ritalin and talwin injected
roach	butt of marijuana cigarette
roach clip	holds partially smoked marijuana cigarette
roach-2	rohypnol
roacha	marijuana
roaches	rohypnol
roachies	rohypnol
road dope	amphetamine
roapies	rohypnol
roasting	smoking marijuana
robin's egg	stimulant
robutal	rohypnol
roca	crack cocaine
rochas dos	rohypnol
roche	rohypnol
rock attack	crack cocaine
rock climbing	smoking rock cocaine
rock house	place where crack is sold and smoked
rock star	female who trades sex for crack
rocket caps	dome-shaped caps on crack vials
rocket fuel	pcp
rockets	marijuana cigarette
rockette	female who uses crack
rocks of hell	crack cocaine
rocky iii	crack
roid rage	aggressive behaviour caused by excessive steroid use
roller	to inject a drug
rollers	police
rollin'	high on ecstasy
rolling	mdma
rolls	ecstasy
rolls royce	mdma
rompums	marijuana with horse tranquilizers
ron	heroin
roofie	date rape drug
roofies	rohypnol
rooster	crack cocaine
root	marijuana
rope	marijuana
rophies	rohypnol
rophy	rohypnol
ropies	rohypnol
roples	rohypnol
rosa	amphetamine
rose marie	marijuana
roses	amphetamine
rough stuff	marijuana
row-shay	rohypnol
rox	crack cocaine
roxanne	cocaine
roxies	oxycontin pills
royal blues	lsd
roz	crack cocaine
rubia	marijuana
ruderalis	species of cannabis, found in Russia, grows 1 to 25 feet
ruffies	rohypnol
ruffles	rohypnol
rugs	marijuana
runners	people who sell drugs for others
running	mdma
rush	cocaine
rush hour	heroin
rush snappers	isobutyl nitrite
russian sickles	lsd
sack	heroin
sackett	member of aryan brotherhood
sacrament	lsd
sacred mushroom	psilocybin
salad	marijuana
salt	heroin
salt and pepper	marijuana
salty water	gamma hydroxybutyrate (ghb)
sam	federal narcotics agent
sancocho	to steal
sandoz	lsd
sandwich	two layers of cocaine with a layer of heroin in the middle
sandwich bag	$40 bag of marijuana
santa marta	marijuana
santero	priest in santeria religion
sasfras	marijuana
satan's secret	inhalants
satanist	person who worships satan
satch	papers, letter, cards, clothing, etc, saturated with drug solution
satch cotton	fabric used to filter a solution of narcotics before injection
sauce	cocaine
scaffle	pcp
scag	heroin
scarecrow	oxycontin
scat	heroin
scate	heroin
schmeck	cocaine
schmiz	methamphetamine
schoolboy	cocaine
schoolcraft	crack cocaine
schwagg	marijuana
scissors	marijuana
scooby snacks	mdma
scoop	gamma hydroxybutyrate (ghb)
scootie	methamphetamine
score	purchase drugs
score	to get hold of drugs
scorpion	cocaine
scott	heroin
scottie	cocaine
scotty	cocaine
scrabble	crack cocaine
scramble	crack cocaine
scrape and snort	to share crack by scraping off small pieces to snort
scratch	money
scrub	marijuana
scruples	crack cocaine
scuffle	pcp
seccy	depressants
second to none	heroin
seeds	marijuana
seggy	depressants
sen	marijuana
seni	peyote
serial speedballing	sequencing cocaine, cough medicine, and heroin
sernyl	pcp
serpico 21	cocaine
server	crack dealer
sess	marijuana
set	specific sub-set of gang or larger parent organization
set	place where drugs are sold
seven-up	crack cocaine
sevenup	cocaine
sewer	vein into which a drug is injected
sexed in	female has sex with one or more gang members
sextasy	ecstasy used with viagra
sezz	marijuana
sh	skin heads
sh*t	heroin
shabu	combination of powder cocaine and methamphetamine
shake	marijuana
shaker	materials needed to freebase cocaine
shamrock	common tattoo for Aryan brotherhood members
shard	crystal rock of meth
sharps	hypodermic needles
shebanging	mixing cocaine with water and squirting it up nose
sheet rocking	crack and lsd
sheets	pcp
sherm	psychedelic mushrooms
sherm	tobacco laced with pcp
sherm sticks	pcp
sherman stick	crack cocaine combined with marijuana in a blunt
shermans	pcp
shermhead	a crackhead
sherms	crack cocaine
shmeck	heroin
shnizzlefritz	marijuana
shoot	heroin
shoot the breeze	nitrous oxide
shoot up	to inject a drug
shooting gallery	place where drugs are used
shoppers	individuals who buy drugs for others
shot	to inject a drug
shot down	under the influence of drugs
shot to the curb	a person who has lost it all to crack
shotgun	marijuana smoke forced into one's
shoulder up	to take on another person in an aggressive manner
shrile	powder cocaine
shroom	magic mushroom
shrooms	psilocybin/psilocin
shrubs	marijuana
sid	acid
siddi	marijuana
sieg heil	also called sieg heil salute
sightball	crack cocaine
silk	heroin
silly putty	psilocybin/psilocin
silver bullet	ritalin
simple simon	psilocybin/psilocin
sinse	marijuana
sinsemilla	potent variety marijuana
six point star	six principles of king David
six-point stance	posture displayed to show life (head) love (right shoulder)
sixty-two	2 1/2 ounces of poor quality crack
skag	heroin
skee	opium
skeegers/skeezers	crack-smoking prostitute
sketch	methamphetamine
sketching	coming down from a speed induced high
skid	heroin
skied	under the influence of drugs
skin popping	injecting drugs under the skin
skittles	coricidin cough & cold tablets
skittling	abuse of cold tablets
skuffle	pcp
skunk	marijuana
skunk	marijuana
skunkweed	marijuana
slab	a large piece of crack
slam	to inject a drug
slammin'/slamming	amphetamine
slanging	selling drugs
sleep	gamma hydroxybutyrate (ghb)
sleep-500	gamma hydroxybutyrate (ghb)
sleeper	heroin
sleeper and red devil	heroin plus a depressant
sleet	crack cocaine
sleigh ride	cocaine
slick superspeed	methcathinone
slime	heroin
slippin'	gang member who lets his/her guard down
sloob	crips term of disrespect of bloods by crips
slum	pcp (phencyclidine)
smack	heroin
smears	lsd
smoke	marijuana
smoke a bowl	marijuana
smoke canada	marijuana
smoke houses	crack houses
smoke-out	under the influence of drugs
smoking gun	heroin and cocaine
smooch	crack cocaine
smurf	cigar dipped in embalming fluid
smurfs	mdma
snackies	mdma adulterated with mescaline
snap	amphetamine
snappers	isobutyl nitrite
sniff	cocaine
sniff	to inhale cocaine
sniffer bag	$5 bag of heroin intended for inhalation
snop	marijuana
snort	to inhale cocaine
snorting	using inhalant
snorts	pcp
snot	residue produced from smoking amphetamine
snotballs	rubber cement rolled into balls, burned and the fumes are inhaled
snotty	heroin
snow	cocaine
snow bird	cocaine user
snow coke	crack
snow pallets	amphetamine
snow seals	cocaine and amphetamine
snow white	cocaine
snowball	cocaine and heroin
snowcones	cocaine
snowman	drug dealer
snowmen	lsd
soap	gamma hydroxybutyrate (ghb)
soap dope	methamphetamine with a pinkish tint
society high	cocaine
soda	acid
soda	injectable cocaine
soft	powder cocaine
softballs	depressants
soles	hashish
soma	pcp
somali tea	methcathinone
somatomax	gamma hydroxybutyrate (ghb)
sopers	depressants
sos	shoot on sight
soup	crack cocaine
south parks	lysergic acid diethylamide
soviet mafia	Russian equivalent to Italian mafia
space	crack cocaine
space base	crack dipped in pcp
space cadet	crack dipped in pcp
space dust	crack dipped in pcp
space ship	glass pipe used to smoke crack
spaceball	pcp used with crack or powder cocaine
spackle	methamphetamine
spark it up	to smoke marijuana
sparkle	methamphetamine
sparkle plenty	amphetamine
sparklers	amphetamine
spd	speed
"special ""k"""	ketamine
special k	ketamine
special la coke	ketamine
speckled birds	methamphetamine
spectrum	nexus
speed	crack cocaine
speed for lovers	mdma
speed freak	habitual user of methamphetamine
speedball	cocaine mixed with heroin
speedballing	to shoot up or smoke a mixture of cocaine and heroin
speedballs-nose-style	the practice of snorting cocaine
speedboat	marijuana, pcp, and crack combined and smoked
speedies	mdma adulterated with amphetamine
spider	heroin
spider blue	heroin
spider webs	prison tattoo
spike	heroin cut with scopolamine or strychnine
spirals	alpha-methyltryptamine
spivias	amphetamine
splash	amphetamine
spliff	large marijuana cigarette
spliff	tobacco mixed with marijuana
splim	marijuana
split	adulterated drugs
splitting	rolling marijuana and cocaine into a single joint
splivins	amphetamine
spoon	1/16 ounce of heroin
spoosh	methamphetamine
spores	pcp
sporos	methaqualone
sporting	to inhale cocaine
spray	inhalants
sprung	person just starting to use drugs
square mackerel	marijuana, term from florida
square time bob	crack cocaine
squares	cigarettes
squirrel	combination of pcp and marijuana, sprinkled with cocaine and smoked
sriw	super race is white
stack	ecstasymdma mixed with heroin
stackers	steroids
stacking	taking steroids without a prescription
stacks	mdma adulterated with heroin or crack
stamp	lsd
star	folk and people nations 
star	cocaine
star dust	pcp
star-spangled powder	cocaine
stardust	cocaine
stars	mdma
stash	place to hide drugs
stash areas	drug storage and distribution areas
stat	methcathinone
steerer	person who directs customers to spots for buying crack
stem	cylinder used to smoke crack
stems	marijuana
step on	dilute drugs
stick	marijuana
sticky icky	marijuana
sticky icky	weed
stink weed	marijuana
stoned	under the influence of drugs
stones	crack cocaine
stoney weed	marijuana
stoppers	depressants
stove top	crystal methamphetamine
stp	pcp
strapped	carrying gun
straw	marijuana cigarette
strawberries	depressants
strawberry	lsd
strawberry fields	lsd
strawberry shortcake	amphetamine
street code	set of rules accepted by gang members
street rank	position in gang
strung out	heavily addicted to drugs
studio fuel	cocaine
stuff	heroin
stumbler	depressants
suff	cocaine or meth
sugar	cocaine
sugar block	crack cocaine
sugar boogers	powder cocaine
sugar cubes	lsd
sugar lumps	lsd
sugar weed	marijuana
sun	represents increasing knowledge of truth in black nation
sunshine	lsd
super	pcp
super acid	ketamine
super c	ketamine
super grass	pcp
super ice	smokable methamphetamine
super joint	pcp
super kools	pcp
super pot	marijuana
super weed	pcp
super x	combination of methamphetamine and mdma
superlab	clandestine laboratories
superman	lsd
supermans	mdma
sur	short for surenos
surenos	south
surfer	pcp
sustanon 250	injectable steroids
swag	marijuana
swallower	an individual used as a drug courier
swans	mdma
swastika	German symbol used during world war ii
swedge	ecstasy
sweet dreams	heroin
sweet jesus	heroin
sweet lucy	marijuana
sweet stuff	cocaine
sweeties	amphetamine
sweets	amphetamine
swell up	crack cocaine
swishers	cigars in which tobacco is replaced with marijuana
switzerland spot	having neutral spot to negotiate issues between stg gangs
synthetic cocaine	pcp
synthetic tht	pcp
syrup	combination of marijuana and cough syrup
t	cocaine
t-buzz	pcp
tabs	cigarettes
tabs	lsd
tac	pcp
tachas	mdma
taco bell	bloods and stands for take all crips out bloods eventually live longer
tail lights	lsd
taima	marijuana
taking a cruise	pcp
takkouri	marijuana
talco	cocaine
tango and cash	fentanyl
tar	crack and heroin smoked together
tardust	cocaine
taste	heroin
taxing	price paid to enter a crackhouse
tea	marijuana
tea party	to smoke marijuana
tear drop	teardrop tattoo next to eye indicates that they have served time
teardrops	dosage units of crack packaged in the cut-off corners of plastic bags
tecata	heroin
tecatos	hispanic heroin addict
teenager	cocaine
teeth	cocaine
ten pack 	1,000 dosage units of lsd
ten toes down	to be executed
tens	amphetamine
tension	crack cocaine
tester	individual who spreads the word about drug 
tex-mex	marijuana
texas pot	marijuana
texas shoe shine	inhalants
texas style	Texas syndicate
texas tea	marijuana
tg	tiny gangster
thai sticks	bundles of marijuana soaked in hashish oil
thanie	heroin
thc	tetrahydrocannabinol
the bomb	heroin
the c	amphetamine
the devil	crack cocaine
the five way	heroin plus cocaine plus methamphetamine plus rohypnol (flunitrazepam) plus alcohol
the ghost	lsd
the hawk	lsd
the nasty	heroin
the witch	heroin
therobolin	injectable steroids
thirst monster	crack smoker
thirst monsters	heavy crack smokers
thirteen	marijuana
thirty-eight	crack sprinkled on marijuana
thizz	ecstasy,mdma
thoroughbred	drug dealer who sells pure narcotics
three dots	three-dot tattoo that stands for mi vidloca
three-pointed pitchfork	an enforcer
thrust	isobutyl nitrite
thrusters	amphetamine
thumb	marijuana
thunder	heroin
tic	pcp in powder form
tic tac	pcp
tick tick	methamphetamine
ticket	lsd
tie	to inject a drug
tiger	heroin
tigre	heroin
tigre blanco	heroin
tigre del norte	heroin
timothy leary	lysergic acid diethylamide (lsd)
tin	container for marijuana
tina	crystal meth
tina	methamphetamine
tiny gangster	gang member usually between ages of 12 and 14
tio	cocaine-laced marijuana cigarette
tish	pcp
tissue	crack cocaine
titch	pcp
tits	black tar heroin
tnt	heroin
tnt	heroin plus fentanyl
toke	to inhale cocaine
toke up	to smoke marijuana
toliet water	inhalants
tolly	toluene, chemical contained in many inhalants
tom and jerries	mdma
tomater	oxycontin 80mg pill
toncho	octane booster which is inhaled
tongs	Chinese gangs who specialize in extortion
tongs	heroin
tool	slang for firearm
tooles	depressants
tools	equipment used for injecting drugs
toonies	nexus
toot	cocaine
tooter	object used to snort drugs
tooties	depressants
tootsie roll	heroin
top drool	heroin
top gun	crack cocaine
topi	mescaline
topo	crack
tops	peyote
torch	marijuana
torch cooking	smoking cocaine base by using a propane or butane torch as a source of flame
torch up	to smoke marijuana
tornado	crack cocaine
torpedo	marijuana and crack
tos	terminate on site  permission from gang's leader to kill someone whenever they are seen
toss up	crack cocaine
toss-ups	crack cocaine
totally spent	hangover feeling that is an adverse effect of mdma
toucher	user of crack who wants affection before, during, or after smoking crack
tout	person who introduces buyers to sellers
touter	person who stands on the street and advertises a drug
toxy	opium
toys	opium
tr-6s	amphetamine
track	to inject a drug
tracks	row of needle marks on a person
tragic magic	crack dipped in pcp
trails	cocaine
train	heroin
trambo	pending drug transaction
trank	pcp
tranq	depressants
trap	hiding place for drugs
trapped vehicles	vehicles with secret compartments used to conceal drugs
trapping	moving around / doing something
trash	methamphetamine
trauma	marijuana
travel agent	lsd supplier
tray	$3 bag of marijuana
trays	bunches of vials
tree	weed
trees	marijuana
trey	small rock of crack cocaine
triad's	Chinese organized crime;
trip	lsd
triple a	marijuana from british columbia
triple crowns	mdma
triple folds	folded paper used to package drugs
triple rolexes	mdma
triple stacks	mdma
trippin'	high on drugs
troll	use of lsd andmdma
troop	crack cocaine
trophobolene	injectable steroid
truck drivers	amphetamine
true gangster	gang member
trupence bag	marijuana
ts	Texas syndicate
ts and rits	talwin and ritalin combination is injected and produces an effect similar to the effect of heroin mixed with cocaine
ts and rs	talwin and ritalin combination is injected and produces an effect similar to the effect of heroin mixed with cocaine
tuie	depressants
turbo	marijuana and crack
turf	place where drugs are sold
turf gang	gang that is based on claiming and protecting geographical area
turkey	cocaine
turnabout	amphetamine
turned on	introduced to drugs
turner diaries	book that writes about fall of us and its take over by white race
tustin	marijuana
tutti-frutti (portuguese)	flavoured cocaine
tutus	mdma
twakers	meth users
twamp	a 20 dollar bag of marijuana
tweak	methamphetamine
tweak mission	a person on a mission to find crack
tweaker	crack user looking for drugs on the floor after a police raid
tweaking	drug-induced paranoia
tweaks	crack cocaine
tweek	methamphetamine-like substance
tweeker	methcathinone
tweety birds	mdma
twenties	$20 vials or bags of crack
twenty	$20 rock of crack
twenty rock	crack cocaine
twenty-five	lsd
twin towers	heroin (after september 11)
twinkie	crack cocaine
twist	marijuana cigarette
twisters	crack and methamphetamine
twists	small plastic bags of heroin secured with a twist tie
twistum	marijuana cigarette
two dots	tattoo is Cuban gangs and means that they have committed larceny
two for nine	two $5 vials or bags of crack for $9
two minutes on door	two minutes of beating for violation of gang rules inside of prison for Latin kings
tyler berry	lsd combined with gasoline
ubl	united blood line
ubn	united blood nation
ultimate	crack cocaine
ultimate solution	Hitler's plan and belief that best way to deal with Jews and blacks
ultimate xphoria	mdma
uncle	federal agents
uncle milty	depressants
undercover	gang member who is not wearing any indication of their gang affiliation
underground	gang
underworld	organized crime
underworld brotherhood	any Asian gang member
united blood line	prison gang to unite all bloods
united blood nation	consolidation of all blood sets in jail and prison
universal crip cadence	song sung by crips in jail or prison
unkie	morphine
unotque	marijuana
up against the stem	addicted to smoking marijuana
uppers	amphetamine
uppies	amphetamine
ups and downs	depressants
upside down pentagram	strictly satanic
uptown	powder cocaine
usp	amphetamine
utopiates	hallucinogens
uzi	crack
v	punishment given to gang member
v	the depressant valium
valhalla	white supremacist and stands for viking heaven
vanguard	prison gang, which is nearly non-existent
varrio	Hispanics and means neighborhood
vega	a cigar wrapping refilled with marijuana
venus	nexus
veterano	old or retired gang member usually with 20 or more years
vice lords	the people nation
vidrio	heroin
vike	vicodin
vikings	vicodin
violation	both folk and people and means to violate law of gang
viper	marijuana smoker
viper's weed	marijuana
visa	Hispanic and stands for vice president of arms
vita-g	gamma hydroxybutyrate (ghb)
vitamin a	adderall, amphetamines
vitamin k	ketamine
vitamin r	ritalin (methylphenidate)
vodka acid	lsd
w/s	west side
wac	pcp on marijuana
wack	pcp
wacky weed	marijuana
wafers	mdma
waffle dust	combination ofmdma  and amphetamine
wake and bake	marijuana
wake ups	amphetamine
wannbe	person who wants to be gang member
war	white Aryan resistance
warlock	male witch or practitioner of satanism
warlord	motorcycle gangs and stands for sergeant of arms
wash	methamphetamine
wash out	gang member who has other members leave gang either by death or incarceration
wasted	under the influence of drugs
Water-water	marijuana cigarettes dipped in embalming fluid
watercolors	lysergic acid diethylamide (lsd)
wave	crack cocaine
wearing colors	to be dressed in gang's colors or other identifiers
wedding bells	lsd
wedge	lsd
weed	marijuana
weed	marijuana
weed tea	marijuana
weight trainers	steroids
weightless	high on crack
west coast	methylphenidate (ritalin)
west coast turnarounds	amphetamine
wet	blunts mixed with marijuana and pcp
wet sticks	marijuana combined with pcp and formaldehyde
whack	crack cocaine
whackatabacky	marijuana
wheat	marijuana
wheels	mdma
when-shee	opium
whiffledust	amphetamine
whippets	nitrous oxide
white	coke
white ball	crack cocaine
white boy	heroin
white cloud	smoke that collects in bottom of crack pipe
white cross	indicates that person wearing it has stolen an item off of dead person
white cross	amphetamine
white devil	white men
white diamonds	mdma
white dove	mdma
white dragon	powder cocaine
white dust	lsd
white ghost	crack cocaine
white girl	cocaine
white homeland	place that only whites will leave
white horizon	pcp
white horse	cocaine
white junk	heroin
white knights	members of ku klux klan
white lady	cocaine
white lightning	lsd
white magic	occult and stands for use of power or natural forces for good intentions
white man's bible	book that explains bible in white supremacy terms
white mosquito	cocaine
white nurse	heroin
white owsley's	lsd
white powder	cocaine
white power	shows white supremacy beliefs
white russian	marijuana
white student union	skinhead organization
white stuff	heroin
white sugar	crack cocaine
white tornado	crack cocaine
white wings	earned when member has orally copulated white females genital area
white-haired lady	marijuana
whiteout	inhalants
whites	amphetamine
whiz bang	cocaine
Wicca	witchcraft
wicked	a potent brand of heroin
wicky	combination of powder cocaine pcp and marijuana
wicky stick	pcp marijuana and crack
wigging	odd behaviour resulting from the use of mind-altering drugs
wigits	mdma
wild cat	methcathinone mixed with cocaine
window glass	lsd
window pane	lsd
wings	cocaine
winstrol	oral steroids
winstrol v	veterinary steroids
wiseguy	member of mafia
witch	cocaine
witch hazel	heroin
witchcraft	practice of attempting to use magical powers
wizard	an official in the ku klux klan
wobble weed	pcp
wolf	pcp
wolfies	rohypnol
wollie	rocks of crack rolled into a marijuana cigarette or in a cigar
wonder star	methcathinone
woo blunts	marijuana
woola blunt	marijuana and heroin combination
woolah	hollowed out cigar refilled with marijuana and crack
woolas	cigarettes laced with cocaine
woolie	marijuana and heroin combination
woolie blunt	combination of crack cocaine and marijuana
woolies	marijuana and crack or pcp
wooly blunts	marijuana and crack or pcp
wooties	crack smoked in marijuana joints
work	methamphetamine
working	selling crack
working bags	bags containing several small rocks of crack cocaine
working fifty	crack rock weighing 1/2 gram or more
working half	crack rock weighing 1/2 gram or more
working man's cocaine	methamphetamine
works	equipment for injecting drugs
worm	pcp
wounded	hungover
wrecking crew	crack cocaine
ws	white supremacy
wtc	heroin (after september 11)
x	marijuana
x-ing	mdma
x-pills	mdma
xtc	mdma
ya ba	a pure and powerful form of methamphetamine from thailand
yahoo/yeaho	crack cocaine
yale	crack cocaine
yam	crack cocaine
yank	heroin
yao	powder cocaine
yardbird	prison inmate
yay	rock of crack cocaine
yayo	cocaine
yayoo	crack cocaine
yeah-o	crack cocaine
yeh	marijuana
yellow	lsd
yellow bam	methamphetamine
yellow bullets	depressants
yellow dimples	lsd
yellow fever	pcp
yellow jackets	depressants
yellow powder	methamphetamine
yellow submarine	marijuana
yellow sunshine	lsd
yellow wings	earned when member has orally copulated an Asian female's genital area
yen pop	marijuana
yen shee suey	opium wine
yen sleep	restless, drowsy state after lsd use
yeo	crack
yeola	marijuana and crack
yerba mala	marijuana
yerba mala	pcp and marijuana
yerhia	marijuana
yesca	marijuana
yesco	marijuana
yey	cocaine
yeyo	cocaine,  term
yimyom	crack cocaine
ying yang	lsd
yoda	cocaine
yola	cocaine
yolo	cocaine
z	1 ounce of heroin
z's	benzodiazipines
zacatecas purple	marijuana from mexico
zambi	marijuana
zannie	xanax pill
zay	a mixture of marijuana and other substances within a cigar
ze	opium
zen	lsd
zero	opium
zest	speed
zesty	amphetamine
zig zag man	marijuana
zip	crystal methamphetamine
zip	ounce
zodiac	symbols representing time of year you were born 
zol	marijuana cigarette
zombie	pcp
zombie weed	pcp
zonked	extremely high on drugs
zooie	holds butt of marijuana cigarette
zoom	marijuana laced with pcp
zoomer	individual who sells fake crack and then flees
zoot suiter	Hispanic gang members in southern California
zoquete	heroin
zoso	considered protector of gateway to hell
zulu	bogus crack
biggest shoe 	(n) largest calibre firearm
let it off 	(v) discharging / shooting a round of ammunition
eating	(v) robbery
jook 	(v) robbery
eat 	(v) robbery
moving militant 	(adj) characterization in the term of a militant soldier
dirty 	 (adj) criminal acts
moving deep 	 (adj) gang movement / activity in numbers
ballin’ 	 (adj) having it all
be down 	 (adj) member in good standing
grimey 	 (adj) nasty
criss 	 (adj) everything is fine
freshie 	 (adj) someone new to the country from any island
heatbag 	 (adj) someone who attracts attention
road 	 (adj) to be out of custody
mad greazy 	 (adj) very dirty, nasty,  generally bad or negative
soft 	 (adj) wimpy or weak
greazy 	 (adv) behaviour that is unsavoury, usually criminal in nature
moving greazy 	 (adv) suspicious behaviour (actions)
leaving footprints 	 (adv) leaving your mark to make a statement 
takin’ it dry 	 (adv) letting someone treat you badly / screw you over
corn 	 (n ) crack (kernels)
deuce deuce 	 (n) .22 cal
two deuce	 (n) .22 cal
deucy 	 (n) .22 cal
twins 	 (n) .22 cal
two two 	 (n) .22 cal
twenty-five cents 	 (n) .25 cal
three zero 	 (n) .30 cal
three deuce	 (n) .32 cal
three two 	 (n) .32 cal
three finger deuce 	 (n) .32 cal
trey-deuce 	 (n) .32 cal
fifty-seven 	 (n) .357 cal
five-seven 	 (n) .357 cal
seven 	 (n) .357 cal
three odd odd 	 (n) .357 cal
three-eights 	 (n) .38 cal ammunition
three-eight hollows 	 (n) .38 cal hollow point ammunition
three-eight 	 (n) .38 cal
eighty 	 (n) .380 rifle
forty 	 (n) .40 cal
four zero	 (n) .40 cal
four point zero 	 (n) .40 cal
four 	 (n) .40 cal
four O 	 (n) .40 cal
fours 	 (n) .40 cal
double four 	 (n) .44 cal
four four	 (n) .44 cal
state 	 (n) .45 cal (as in state trooper)
fifth 	 (n) .45 cal
fiftharoo 	 (n) .45 cal
four fifth 	 (n) .45 cal
four five 	 (n) .45 cal
forty five 	 (n) .45 cal
four fizzle 	 (n) .45 cal
number five 	 (n) .45 cal
ninos 	 (n) .9 mm ammunition
nizzy 	 (n) .9 mm ammunition
nizi hollows 	 (n) .9 mm hollow point ammunition
nina 	 (n) .9 mm
nine 	 (n) .9 mm
nine o’clock 	 (n) .9 mm
neeno 	 (n) .9 mm
nino	 (n) .9 mm
nizine 	 (n) .9 mm
nizzle 	 (n) .9 mm
nizi 	 (n) .9 mm
nizzy 	 (n) .9 mm
deego 	 (n) $10 worth of drugs
green boy 	 (n) $20 bill
12 cents 	 (n) 12 gauge shotgun
12 o’clock 	 (n) 12 gauge shotgun
twelve gauge 	 (n) 12 gauge shotgun
twelve	 (n) 12 gauge shotgun
first 	 (n) 1st degree murder
ball 	 (n) 3.50 grams / 1/8 oz
team 	 (n) a crew clique or subset of a criminal street gang
Versace 	 (n) a Criminal organization
custy 	 (n) a customer
man dem	 (n) a fellow member of a criminal street gang or associate gang
sixteen shooter 	 (n) a firearm capable of storing and discharging sixteen rounds of ammunition
9th floor 	 (n) a firearm
9th o’clock 	 (n) a firearm
G’s 	 (n) a gang member / gangster
banger 	 (n) a gang member', ' someone associated with gangs and murder
dime 	 (n) a girl or $10
safehouse 	 (n) a location unknown to police used as a hideout and / or to store illegal goods
weed man’s house 	 (n) a marijuana growers / distributors property 
vehics	 (n) a motor vehicle
whip	 (n) a motor vehicle
bird 	 (n) a unliked person because of immature behaviour 
my team 	 (n) a person’s street gang
wet shirt thing 	 (n) a shooting
clique 	 (n) a smaller group within a larger criminal street gang also known as a crew
G note 	 (n) a thousand dollars (grand)
note 	 (n) a thousand dollars (grand)
gino 	 (n) a thousand dollars (grand)
G	 (n) a thousand dollars (grand)
ak 	 (n) AK 47
whole of them 	 (n) all of them
charger 	 (n) ammunition or a clip
